Feature Type,Alpha,Gamma,Polynomial Dimension,Protos per dimension,Epsilon,Simulations,MIN,MAX,Delta,Mean,STDEV
POLYNOMIAL,0.025,0.9,10,35,0.5,1000,87,246,159,147.961,31.80721896328219
POLYNOMIAL,0.05,0.9,7,35,0.5,1000,111,211,100,145.931,30.47567892608803
POLYNOMIAL,0.01,0.99,4,35,0.5,1000,193,232,39,201.922,8.981346256579833
POLYNOMIAL,0.01,0.9,8,35,0.5,1000,92,139,47,124.689,12.323398279092709
POLYNOMIAL,0.01,0.95,8,35,0.5,1000,125,267,142,147.618,24.879692021306756
POLYNOMIAL,0.01,0.99,8,35,0.5,1000,203,376,173,263.793,40.22128668880327
POLYNOMIAL,0.025,0.9,5,35,0.5,1000,151,226,75,156.325,15.398392301973784
POLYNOMIAL,0.1,1.0,3,35,0.75,1000,115,211,96,138.573,35.47121195952963
POLYNOMIAL,0.5,0.8,3,35,0.75,1000,111,231,120,185.217,41.51840180797773
POLYNOMIAL,0.01,0.8,5,35,0.5,1000,150,300,150,218.248,34.54889465847094
POLYNOMIAL,0.01,0.99,5,35,0.75,1000,83,259,176,151.064,50.380433623502014
POLYNOMIAL,0.01,0.95,8,35,0.75,1000,84,129,45,112.728,14.31401086023435
POLYNOMIAL,0.01,0.99,5,35,0.75,1000,83,199,116,145.941,42.209989365104114
POLYNOMIAL,0.025,1.0,8,35,0.5,1000,176,233,57,191.944,13.180538327040766
POLYNOMIAL,0.05,1.0,10,35,0.25,1000,173,265,92,211.914,26.615728451443914
POLYNOMIAL,0.025,1.0,8,35,0.5,1000,87,259,172,140.994,36.84287395632107
POLYNOMIAL,0.01,0.99,7,35,0.75,1000,89,245,156,155.18,45.40399897721701
POLYNOMIAL,0.4,0.8,7,35,0.75,1000,158,174,16,166.989,5.223232826627697
POLYNOMIAL,0.05,0.99,5,35,0.75,984,145,293,148,212.1991869918699,18.40990708533685
POLYNOMIAL,0.025,0.99,5,35,0.25,1000,154,169,15,159.054,3.8861531346803853
POLYNOMIAL,0.025,1.0,7,35,0.5,1000,115,237,122,164.214,38.532881893092124
POLYNOMIAL,0.025,0.99,8,35,0.25,1000,138,219,81,166.336,15.451014136225423
POLYNOMIAL,0.025,0.99,5,35,0.75,940,171,329,158,198.7191489361702,40.27916237377138
POLYNOMIAL,0.025,0.99,5,35,0.5,1000,203,309,106,215.403,18.63925999102467
POLYNOMIAL,0.4,0.95,7,35,0.5,1000,148,271,123,203.382,46.561293259852974
POLYNOMIAL,0.5,0.95,2,35,0.75,1000,166,341,175,196.557,44.17492699682904
POLYNOMIAL,0.125,1.0,4,35,0.75,1000,83,244,161,139.843,43.88355178329481
POLYNOMIAL,0.4,0.95,8,35,0.5,1000,239,348,109,270.251,23.95353357587917
POLYNOMIAL,0.01,0.9,8,35,0.5,1000,85,180,95,126.212,24.70237363621689
POLYNOMIAL,0.5,0.95,9,35,0.25,1000,185,203,18,191.989,5.673541051941729
POLYNOMIAL,0.01,1.0,7,35,0.5,1000,111,235,124,130.86,28.50594655486797
